Resultsfromheasarc_fermigbrst:FermiGBMBurstCatalog
Coordinatesystem:Equatorial
|name|t90|t90_error|fluence|fluence_error|pflx_comp_epeak|pflx_comp_epeak_pos_err|pflx_comp_epeak_neg_err|pflx_comp_index|pflx_comp_index_pos_err|pflx_comp_index_neg_err|pflx_comp_pivot|pflx_comp_pivot_pos_err|pflx_comp_pivot_neg_err|pflx_comp_ergflux|pflx_comp_ergflux_error|
|GRB160727971|3.136|2.294|7.1259e-07|5.0472e-08|4.712940e+01|6.072796e+00|6.072796e+00|-1.135401e+00|3.240928e-01|3.240928e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.135294e-07|1.982771e-08|
|GRB120919816|20.480|1.305|1.1356e-06|2.2108e-08|6.044929e+01|6.156422e+00|6.156422e+00|-1.098665e-01|3.892064e-01|3.892064e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.871922e-07|1.985180e-08|
|GRB160406023|23.040|6.831|3.0057e-06|3.1839e-08|4.879096e+01|5.181827e+00|5.181827e+00|-1.017726e+00|2.739325e-01|2.739325e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.668057e-07|1.986703e-08|
|GRB171022085|37.633|6.720|1.8042e-06|4.3112e-08|1.623246e+02|7.843628e-01|7.843628e-01|-2.008000e+00|6.163754e-06|6.163754e-06|1.000000e+02|0.000000e+00|0.000000e+00|2.451502e-07|1.991929e-08|
|GRB180620354|98.050|1.145|6.5426e-06|6.0049e-08|4.586295e+01|1.540825e+00|1.540825e+00|-5.905606e-01|1.325630e-01|1.325630e-01|1.000000e+02|0.000000e+00|0.000000e+00|6.772930e-07|1.994746e-08|
|GRB150206407|5.120|1.056|1.3681e-06|2.9761e-08|6.354085e+01|5.070515e+00|5.070515e+00|-1.717204e-01|2.832497e-01|2.832497e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.863909e-07|1.997098e-08|
|GRB110626448|6.400|1.145|1.1628e-06|2.9197e-08|6.565417e+01|5.084339e+00|5.084339e+00|-2.190445e-01|2.815623e-01|2.815623e-01|1.000000e+02|0.000000e+00|0.000000e+00|3.078206e-07|2.006027e-08|
|GRB090117640|15.552|4.580|2.5311e-06|4.6993e-08|4.639887e+01|2.503983e+00|2.503983e+00|-1.117709e+00|1.304184e-01|1.304184e-01|1.000000e+02|0.000000e+00|0.000000e+00|5.377750e-07|2.026541e-08|
|GRB140406144|37.120|4.291|2.3492e-06|8.7395e-08|9.520394e+01|1.714081e+01|1.714081e+01|5.498059e-01|9.507013e-01|9.507013e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.110228e-07|2.042919e-08|
|GRB120713226|13.824|3.435|1.1304e-06|1.0662e-07|6.788889e+01|8.604961e+00|8.604961e+00|-8.192178e-02|7.184731e-01|7.184731e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.448234e-07|2.046399e-08|
|GRB130816074|36.864|6.229|7.9647e-07|2.7277e-08|5.167347e+01|4.574464e+02|4.574464e+02|-2.001966e+00|1.104045e-15|1.104045e-15|1.000000e+02|0.000000e+00|0.000000e+00|1.314415e-07|2.049517e-08|
|GRB130623488|22.272|0.923|2.4645e-06|3.0042e-08|4.474191e+01|7.260044e+00|7.260044e+00|-1.187948e+00|3.154953e-01|3.154953e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.067791e-07|2.052660e-08|
|GRB170302876|89.856|3.874|4.0376e-06|3.3855e-08|8.755605e+01|1.063795e+01|1.063795e+01|2.544688e-01|6.632897e-01|6.632897e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.384670e-07|2.053434e-08|
|GRB120922939|182.275|19.777|8.2080e-06|1.6867e-07|7.308552e+01|1.226113e+01|1.226113e+01|-1.177485e+00|3.511079e-01|3.511079e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.682816e-07|2.055330e-08|
|GRB160316139|17.152|4.352|1.9114e-06|6.1847e-08|6.101254e+01|1.339421e+01|1.339421e+01|-2.595747e-01|5.778198e-01|5.778198e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.449143e-07|2.060712e-08|
|GRB110319628|15.104|1.379|1.6823e-06|3.6136e-08|6.234218e+01|1.081896e+01|1.081896e+01|-2.578905e-01|6.302699e-01|6.302699e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.308193e-07|2.075174e-08|
|GRB140322424|10.496|2.111|2.0052e-06|2.7716e-08|4.865440e+01|5.193783e+00|5.193783e+00|-8.958519e-01|3.216541e-01|3.216541e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.551078e-07|2.079736e-08|
|GRB120118709|37.825|12.586|2.6631e-06|4.6680e-08|6.693145e+01|9.660385e+00|9.660385e+00|-9.261628e-01|3.389020e-01|3.389020e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.822220e-07|2.090838e-08|
|GRB130722990|2.304|1.379|5.9884e-07|2.5743e-08|6.376707e+01|6.684666e+00|6.684666e+00|-6.222771e-01|2.988155e-01|2.988155e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.322729e-07|2.091702e-08|
|GRB090427688|12.288|1.280|1.6151e-06|3.1825e-08|8.243516e+01|8.373085e+00|8.373085e+00|3.592005e-01|4.248341e-01|4.248341e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.906631e-07|2.099116e-08|
|GRB120427153|22.784|1.999|6.8051e-07|3.7361e-08|1.543917e+02|1.773987e+00|1.773987e+00|-2.007999e+00|3.944915e-06|3.944915e-06|1.000000e+02|0.000000e+00|0.000000e+00|9.093755e-08|2.104715e-08|
|GRB080828189|3.008|3.329|4.1132e-07|1.6779e-08|1.189351e+02|1.032592e+01|1.032592e+01|1.064776e+01|6.533349e+00|6.533349e+00|1.000000e+02|0.000000e+00|0.000000e+00|1.035973e-07|2.105139e-08|
|GRB180528465|8.192|3.125|5.4004e-07|3.5512e-08|8.254938e+01|2.203164e+01|2.203164e+01|-6.054965e-01|6.399881e-01|6.399881e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.053396e-07|2.112448e-08|
|GRB090621447|26.112|5.655|1.5666e-06|5.2470e-08|6.643661e+01|9.151108e+00|9.151108e+00|-5.652162e-01|4.818863e-01|4.818863e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.706335e-07|2.115297e-08|
|GRB170625692|22.784|8.798|1.9512e-06|7.4965e-08|9.067712e+01|1.744741e+01|1.744741e+01|-3.445571e-01|5.438522e-01|5.438522e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.252279e-07|2.119747e-08|
|GRB130106829|11.264|1.379|1.5865e-06|4.3176e-08|8.447054e+01|7.755730e+00|7.755730e+00|-2.515600e-02|3.329876e-01|3.329876e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.395193e-07|2.121255e-08|
|GRB150203173|25.600|3.238|1.8639e-06|6.2777e-08|4.647269e+01|1.464457e+01|1.464457e+01|-9.190568e-01|9.560769e-01|9.560769e-01|1.000000e+02|0.000000e+00|0.000000e+00|7.919403e-08|2.122099e-08|
|GRB151219567|62.720|6.676|4.7949e-06|5.6575e-08|5.216698e+01|4.332146e+00|4.332146e+00|-6.201299e-01|2.918767e-01|2.918767e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.847834e-07|2.134290e-08|
|GRB120412920|101.182|4.871|7.0289e-06|5.2670e-08|5.812249e+01|3.016281e+00|3.016281e+00|-2.227520e-01|2.106377e-01|2.106377e-01|1.000000e+02|0.000000e+00|0.000000e+00|4.663485e-07|2.140360e-08|
